,Movie,Reviewer,Publish,Review,Date,Score
0,HOTEL TRANSYLVANIA: TRANSFORMANIA,James Luxford,City AM,"I guess its always been hard for me to see the positive side of things Drac admits during a heart-to-heart with Johnny. Its a sentiment many will share while watching, as the most paper-thin of franchises lumbers to its final resting place.",03/03/2022,40.0
1,HOTEL TRANSYLVANIA: TRANSFORMANIA,Mat Brunet,AniMat's Review (YouTube),Hotel Transylvania: Transformania is a presentation of everything thats wrong with the Hotel Transylvania franchise by amplifying all of its problems to deliver a miserably tiring experience.,15/02/2022,30.0
2,HOTEL TRANSYLVANIA: TRANSFORMANIA,Robert Levin,Newsday,The conceit still works well enough to mostly distract from the tired adventure movie plot.,29/01/2022,75.0
3,HOTEL TRANSYLVANIA: TRANSFORMANIA,Jackie K. Cooper,jackiekcooper.com,"No Adam Sandler this time out, but the animated fun is still there.",28/01/2022,60.0
4,HOTEL TRANSYLVANIA: TRANSFORMANIA,Asher Luberto,The Playlist,"It's not likely we'll see another one of these things, but if you ask me, another stay at Transylvania wouldn't be so bad.",28/01/2022,74.0
5,HOTEL TRANSYLVANIA: TRANSFORMANIA,Chris Sawin,Hub Pages,A lukewarm sendoff that mostly feels like a lethargic attempt to recapture its former glory. It's built around an entertaining concept that it doesn't fully capitalize on. It ultimately obliterates character traits for trite gags and cliché punch lines.,22/01/2022,30.0
6,HOTEL TRANSYLVANIA: TRANSFORMANIA,Doug Walker,Channel Awesome,"Starts off sloppy, but brings a fair amount of comedy, imagery, and creative animation as it continues on.",21/01/2022,75.0
7,HOTEL TRANSYLVANIA: TRANSFORMANIA,Debopriyaa Dutta,Screen Rant,"Genuinely fun and touching in parts, Hotel Transylvania: Transformania casts familiar characters in new molds, adding more heart to the franchise.",21/01/2022,60.0
8,HOTEL TRANSYLVANIA: TRANSFORMANIA,Kevin Harley,Radio Times,"Four films in, perhaps it's time to hang up the cape.",20/01/2022,40.0
9,HOTEL TRANSYLVANIA: TRANSFORMANIA,Laura Hiros,Rincón de cine,A nice to spend some time with family. [Full review in Spanish],20/01/2022,60.0
10,HOTEL TRANSYLVANIA: TRANSFORMANIA,Andrea Chase,Killer Movie Reviews,A relentlessly obvious and overplayed exercise in draining the last dregs from a moribund franchise.,20/01/2022,20.0
11,HOTEL TRANSYLVANIA: TRANSFORMANIA,Will Ashton,The Young Folks,"Outside of this charming performance and several notable new character designs, Hotel Transylvania: Transformania is a lackluster conclusion to an animated series that never quite stood out much.",19/01/2022,50.0
12,HOTEL TRANSYLVANIA: TRANSFORMANIA,Sandie Angulo Chen,Common Sense Media,This supposedly final movie about Drac and Mavis' monster family and their silly adventures is sure to make little ones laugh and adults feel nostalgic for monster movies of old.,18/01/2022,60.0
13,HOTEL TRANSYLVANIA: TRANSFORMANIA,Peter Canavese,Celluloid Dreams,"Entirely conventional; runs on slapstick and action, with all the humor of an old Scooby-Doo episode.",18/01/2022,50.0
14,HOTEL TRANSYLVANIA: TRANSFORMANIA,Julian Lytle,idobi.com,Hotel Transylvania: Transformania is an ok-at-best sequel in this series. It's funny enough and is probably a good waste of time on a lazy weekend afternoon with your family at home.,18/01/2022,69.0
15,HOTEL TRANSYLVANIA: TRANSFORMANIA,Kevin A. Ranson,MovieCrypt.com,"... like a made-for-television afterthought... The once-fun spooky adventure has been purged, leaving a continuous series of so-so silliness, and the unfulfilled characters appear just as disappointed by it.",17/01/2022,25.0
16,HOTEL TRANSYLVANIA: TRANSFORMANIA,Allison Rose,FlickDirect,"As the fourth film in the Hotel Transylvania series, Transformania continues to keep its foundation rooted in the first movie.",17/01/2022,70.0
17,HOTEL TRANSYLVANIA: TRANSFORMANIA,Richard Propes,TheIndependentCritic.com,"When you've resigned yourself to the tiresome body switch storyline, it's time to say goodbye.",15/01/2022,37.5
18,HOTEL TRANSYLVANIA: TRANSFORMANIA,Eddie Harrison,film-authority.com,...still feels cut from the same cloth as the first three films....,15/01/2022,60.0
19,HOTEL TRANSYLVANIA: TRANSFORMANIA,Kevin Carr,Fat Guys at the Movies,It's a great horror movie primer for kids.,15/01/2022,62.5
20,HOTEL TRANSYLVANIA: TRANSFORMANIA,Chris Knight,National Post,"The kids should enjoy it, and parents who want to watch along won't be turning into monsters themselves.",14/01/2022,60.0
21,HOTEL TRANSYLVANIA: TRANSFORMANIA,Rachel Wagner,rachelsreviews.net,It will have the whole family laughing and that's important.,14/01/2022,60.0
22,HOTEL TRANSYLVANIA: TRANSFORMANIA,James Croot,Stuff.co.nz,The result is a sickly sweet confection that surely spells the end of this now decade-long series.,14/01/2022,40.0
23,HOTEL TRANSYLVANIA: TRANSFORMANIA,Jonathan W. Hickman,The Newnan Times-Herald,It's impossible not to be amused by the good-natured comradery between the endearing cast of characters.,14/01/2022,60.0
24,HOTEL TRANSYLVANIA: TRANSFORMANIA,Austin Burke,Austin Burke/Flick Fan Nation,"This franchise is as upbeat as ever, and the message is sweet, but the conventional journey couldn't quite overcome its familiarity.",14/01/2022,50.0
25,HOTEL TRANSYLVANIA: TRANSFORMANIA,Nell Minow,RogerEbert.com,My Yelp review for this hotel is 'would do business again.',14/01/2022,87.5
26,HOTEL TRANSYLVANIA: TRANSFORMANIA,Kevin Maher,Times (UK),Benefits from an extremely low bar over which it trots.,14/01/2022,60.0
27,HOTEL TRANSYLVANIA: TRANSFORMANIA,Rosa Parra,Latinx Lens,"It's fun, funny, and a moving farewell to this franchise.",14/01/2022,70.0
28,HOTEL TRANSYLVANIA: TRANSFORMANIA,Roger Moore,Movie Nation,"After four films and a TV series, maybe it's time to mothball this Hotel for a bit.",13/01/2022,37.5
29,HOTEL TRANSYLVANIA: TRANSFORMANIA,Preston Barta,Fresh Fiction,"It's easily the weakest entry in the series, but it's also harmless. You can't ignore how it makes you smile.",13/01/2022,74.0
30,HOTEL TRANSYLVANIA: TRANSFORMANIA,Frank Swietek,One Guy's Opinion,"Pretty much defangs whatever wit the original film possessed, but as a cinematic babysitter it will probably do the trick.",13/01/2022,59.0
31,HOTEL TRANSYLVANIA: TRANSFORMANIA,Randy Myers,San Jose Mercury News,"All of it is amiable and chuckle-worthy, but nothing more.",13/01/2022,62.5
32,HOTEL TRANSYLVANIA: TRANSFORMANIA,Lindsey Bahr,Associated Press,The well of ideas on this particular property has apparently run dry and they have made the wise decision to show themselves the door. Though not wise enough to end on a particularly high note.,13/01/2022,25.0
33,HOTEL TRANSYLVANIA: TRANSFORMANIA,Douglas Davidson,Elements of Madness,"At a time when there's so much pessimism, Transformania offers a light respite that's silly enough to entertain the kids and mature enough for the message to reach adults, too.",13/01/2022,60.0
34,HOTEL TRANSYLVANIA: TRANSFORMANIA,Richard Crouse,Richard Crouse,"The life lessons are wedged between a monster mash of laughs and action, some of which parents may find headache inducing, but, like Dracula, kids should be able to sink their teeth into it.",13/01/2022,60.0
35,SENSATION,Dennis Schwartz,Dennis Schwartz Movie Reviews,"A sci-fi film that made no sense, as it tells a weird tale about people with enhanced senses.",09/01/2022,69.0
36,HOTEL TRANSYLVANIA: TRANSFORMANIA,Josh Bell,"The Inlander (Spokane, WA)","Although the series has been an unlikely box-office juggernaut, at this point it seems better suited for streaming, where parents can turn it on for their antsy kids and then safely ignore it.",13/01/2022,37.5
37,HOTEL TRANSYLVANIA: TRANSFORMANIA,Micheal Compton,Bowling Green Daily News,Transformania really plays like one last ride for a franchise that has definitely run its course.,13/01/2022,64.0
38,HOTEL TRANSYLVANIA: TRANSFORMANIA,Mike Scott,Times-Picayune,The result isn't just unfunny. It's worse. It's boring.,13/01/2022,25.0
39,HOTEL TRANSYLVANIA: TRANSFORMANIA,Mike McGranaghan,Aisle Seat,"Transformania maintains the qualities that have made the series popular, but shakes them up just enough to prevent them from feeling stale.",12/01/2022,75.0
40,HOTEL TRANSYLVANIA: TRANSFORMANIA,Leo Brady,AMovieGuy.com,Transformania won't change the way you think about the Hotel Transylvania movies but it's good enough for a brief escape.,12/01/2022,62.5
41,HOTEL TRANSYLVANIA: TRANSFORMANIA,Brian Orndorf,Blu-ray.com,"""Transformania"" works extremely hard to match the energy of previous offerings, though the absence of key players is felt.",12/01/2022,64.0
42,HOTEL TRANSYLVANIA: TRANSFORMANIA,Meagan Navarro,Bloody Disgusting,"Hotel Transylvania: Transformania never gets as complex as its moral center suggests, therefore never really rising above a wholesome, exuberant amusement ride.",12/01/2022,50.0
43,HOTEL TRANSYLVANIA: TRANSFORMANIA,Christopher Lloyd,The Film Yap,The monstrous animated franchise gave Adam Sandler the boot and somehow actually got better for its fourth -- and reportedly final -- installment.,12/01/2022,70.0
44,HOTEL TRANSYLVANIA: TRANSFORMANIA,Mike McGranaghan,Film Racket,"Transformania maintains the qualities that have made the series popular, but shakes them up just enough to prevent them from feeling stale.",12/01/2022,75.0
45,HOTEL TRANSYLVANIA: TRANSFORMANIA,Rendy Jones,Rendy Reviews,Hotel T's final outing is a beautifully animated and fun installment for the family.,12/01/2022,60.0
46,HOTEL TRANSYLVANIA: TRANSFORMANIA,Phil Villarreal,ABC Tucson,It seems Sandler got out at the right time.,11/01/2022,50.0
47,HOTEL TRANSYLVANIA: TRANSFORMANIA,Nate Adams,The Only Critic,Toon franchise has run out of energy and ideas.,11/01/2022,59.0
48,HOTEL TRANSYLVANIA: TRANSFORMANIA,Edward Douglas,The Weekend Warrior,"A few hearty laughs, yet it still feels as if there just isn't that much more than can be done with these characters.",11/01/2022,65.0
49,HOTEL TRANSYLVANIA: TRANSFORMANIA,Deirdre Molumby,entertainment.ie,"Aside from the great visual gags around the monster characters, there's some slapstick and pratfalls, and despite the weak plot, audiences should allow themselves a giggle as they embrace the childish humour.",11/01/2022,60.0
50,HOTEL TRANSYLVANIA: TRANSFORMANIA,Peter Bradshaw,Guardian,Hollywood's most tiring movie franchise has finally expired (with any luck) in a spasm of pure hyperactive pointlessness.,10/01/2022,20.0
51,HOTEL TRANSYLVANIA: TRANSFORMANIA,Robert Kojder,Flickering Myth,There's an analogy involving burnt marshmallows and how you can crack them open to still discover a gooey and delectable center. Put it this way: there's nothing to savor at the center or anywhere inside Hotel Transylvania: Transformania,10/01/2022,40.0
52,HOTEL TRANSYLVANIA: TRANSFORMANIA,Josh Spiegel,Slashfilm,"Like a lot of films that have been sent to streaming since the pandemic, this movie feels like it was made for an HDTV screen, not a big one. It's okay. But you can do better.",10/01/2022,50.0
53,HOTEL TRANSYLVANIA: TRANSFORMANIA,Dave Lee,Dave Lee Down Under,"A welcome, fresh entry in the franchise - taking the story in new, exciting directions, with plenty of opportunities for original gagpieces. However, I feel like it may have squeezed the last drop of fresh blood from this ailing franchise.",10/01/2022,60.0
54,HOTEL TRANSYLVANIA: TRANSFORMANIA,Matt Rodriguez,Shakefire,"Hotel Transylvania: Transformania's transformations are cool and all, but like everything else about the film, it's only temporary. While it may be fine for young children, four movies in and it's becoming a bit tiresome for anyone else.",10/01/2022,50.0
55,HOTEL TRANSYLVANIA: TRANSFORMANIA,Tessa Smith,Mama's Geeky,"Coming off the disappointment of the third movie, this one is a pleasant surprise. Silly fun for the whole family, but Sandler's presence is greatly missed.",10/01/2022,60.0
56,A COPS AND ROBBERS STORY,Chris Salce,Film Threat,Do people deserve a second chance?A Cops and Robbers Storyfocuses on finding an answer to this interesting question.,15/01/2022,80.0
57,A COPS AND ROBBERS STORY,David Ehrlich,indieWire,"Always engaging in broad strokes thanks to the remarkable biography of its subject, ""A Cops and Robbers Story"" is at its best in the brief moments when it drills down on the particulars of Pegues' experience on either side of the law.",20/11/2020,74.0
58,TRY HARDER!,Sandie Angulo Chen,Common Sense Media,"Parents and teens should watch this film together, encourage their PTSAs to host screenings and discussions, and internalize the messages about the ludicrous amount of pressure that so many high achieving students feel to go to the same 20 colleges.",01/02/2022,80.0
59,TRY HARDER!,Asher Luberto,The Playlist,Try Harder!...is never anything less than whipsmart.,27/12/2021,84.0
60,TRY HARDER!,Michael Ward,Should I See It,"(Director Debbie) Lum is as fascinated with these students as we are, taking us on a journey good for the soul, the heart, and the mind.",24/12/2021,80.0
61,TRY HARDER!,Nick Allen,RogerEbert.com,"This smart, savvy documentary does a great job in putting faces and stories behind students who are seen as computers.",03/12/2021,75.0
62,TRY HARDER!,Ricardo Gallegos,But Why Tho? A Geek Community,"An endearing, fun, and honest understanding of student pressures...",18/11/2021,90.0
63,TRY HARDER!,Michael Frank,The Film Stage,"Peppered with joy and desperation, Try Harder! finds realness in an absurd, machine-like process.",17/03/2021,79.0
64,TRY HARDER!,Rendy Jones,Rendy Reviews,Debbie Lum's doc chronicles the excruciating process of the American college application with a light-hearted and well-rounded approach.,27/02/2021,80.0
65,TRY HARDER!,Sean P. Means,The Movie Cricket,"Lum's film makes a strong argument that a school like Lowell, by being so laser-focused on college admissions, denies their kids the thing some colleges want most: A well-rounded life.",04/02/2021,87.5
66,TRY HARDER!,Michael J. Casey,Michael J. Cinema,Lum and her team follow six students as they chase their collegiate dreams through the halls of Lowell.,03/02/2021,70.0
67,TRY HARDER!,Randy Myers,San Jose Mercury News,The agonizing process trying to get into the best college imaginable is depicted vividly in Bay Area filmmaker Debbie Lim's irresistible documentary...,02/02/2021,75.0
68,TRY HARDER!,Katie Smith-Wong,Flick Feast,"Although Try Harder! explores the extent some students will go to exceed greatness, Lum humanises them with care to create a curious and endearing insight to not only a class, but a school of high-achievers.",02/02/2021,60.0
69,SENSATION,Carey-Ann Pawsey,Orca Sound,A thriller that ultimately makes little to no sense. Does not bode well for the viewer.,06/01/2022,40.0
70,TRY HARDER!,Harris Dang,The AU Review,"Try Harder! is a fun documentary that had me in collective embarrassment and elation; as it deals with the stresses of the high school experience via racism, filial duty and pressures in college admissions through five vibrant individuals.",02/02/2021,70.0
71,TRY HARDER!,Ethan Anderton,Slashfilm,"The filmmaking results in a much more genuine, comfortable discussion, and it creates a natural connection between the audience and the students.",01/02/2021,80.0
72,TRY HARDER!,Lisa Trifone,Third Coast Review,"I had the urge to reach through the screen and give one (or all!) of them a good, big hug...",01/02/2021,75.0
